timestamp,attention,meditation,delta,theta,alpha,beta,gamma,label
1748861300.320509,69,53,88222,18513,2481,4735,2149,concentrado
1748861301.3204706,74,53,120051,10258,6835,6405,2121,concentrado
1748861302.3520584,81,60,3774,4574,5957,4162,856,concentrado
1748861303.3461027,84,60,3307,4289,3283,3269,1713,concentrado
1748861306.3404605,87,51,326256,132400,12066,11861,9372,concentrado
1748861307.3152306,88,60,5992,3471,5874,3248,3698,concentrado
1748861308.344396,90,70,10333,4663,9831,7799,2014,concentrado
1748861309.340459,75,51,69759,19745,2652,5007,1476,concentrado
1748861310.338021,91,56,7817,6543,1399,5543,2816,concentrado
1748861311.3368385,90,37,111157,14191,3778,10501,1416,concentrado
1748861312.3334584,96,29,24072,1565,3083,6556,2663,concentrado
1748861313.328149,100,57,6061,2789,8419,3511,2120,concentrado
1748861314.3195074,90,74,2054,9153,6344,4367,2155,concentrado
1748861315.32068,90,90,46661,8682,10887,6679,3489,concentrado
1748861316.3339014,87,90,1755,4208,4446,6571,1708,concentrado
1748861317.3296854,84,84,4234,5792,8828,4051,2504,concentrado
1748861318.3283646,88,83,2268,9316,4178,2951,1161,concentrado
1748861319.3886118,87,83,2969,4169,5237,3873,1188,concentrado
1748861320.325381,78,88,147170,14141,14465,10751,2596,concentrado
1748861321.321404,78,90,8200,2102,5481,2333,2018,concentrado
1748861322.3532436,70,97,6652,10897,11361,3011,1845,concentrado
1748861324.3474572,60,96,9061,8945,6312,4528,2007,concentrado
1748861325.3216314,66,88,6543,2496,3115,3537,2702,concentrado
1748861326.3535454,67,83,195335,54191,43322,19761,7894,concentrado
1748861327.3499305,74,77,1816591,26883,17887,18375,23271,concentrado
1748861328.3184478,74,74,2969375,103951,52420,34006,33895,concentrado
1748861329.3143122,61,54,1385950,213009,27451,18067,50250,concentrado
1748861330.340972,61,50,361194,24978,10300,4797,8818,concentrado
1748861331.3360732,44,38,772201,587705,105993,21308,36545,concentrado
1748861332.3381143,37,27,759073,418998,55310,26312,41712,concentrado
1748861379.642563,0,0,2031,1444,889,1403,1584,concentrado
1748861380.5204985,0,0,3231,1419,5861,4846,6470,concentrado
1748861381.522946,30,30,48606,19203,2820,2324,1638,concentrado
1748861382.5207932,13,13,519054,123578,6180,2276,4171,concentrado
1748861383.520806,8,35,421100,21701,53196,5140,8948,concentrado
1748861384.5536616,11,38,95783,30294,14875,7404,3619,concentrado
1748861385.52113,26,51,9633,10491,7730,8440,2561,concentrado
1748861387.5121574,50,53,104543,13408,6349,3300,7764,concentrado
1748861388.5345583,53,53,5965,17331,8527,7192,2891,concentrado
1748861389.5337763,48,63,25250,12314,18753,7574,2162,concentrado
1748861392.506784,63,69,8624,1637,1787,2042,1233,concentrado
1748861394.531623,75,54,532634,58811,20178,14389,5306,concentrado
1748861395.5300019,74,64,49596,8389,11677,6779,2171,concentrado
1748861396.5235896,66,75,4285,1415,5430,3357,1066,concentrado
1748861397.5278583,63,70,5752,8250,5044,3457,1657,concentrado
1748861398.5288205,80,69,16312,2805,1638,4336,1357,concentrado
1748861399.5596833,78,69,1871,9711,9307,3161,2956,concentrado
1748861400.53173,66,53,1887,19837,5272,2198,1599,concentrado
1748861401.53455,70,50,9748,10008,5361,9587,2335,concentrado
1748861402.5309782,61,61,27806,6705,8852,7600,1844,concentrado
1748861403.5327778,63,64,4171,6180,12430,5384,1574,concentrado
1748861404.531043,90,63,4575,1543,1232,4120,1109,concentrado
1748861405.5324166,88,61,3885,9190,4431,7324,1231,concentrado
1748861406.5268826,78,57,2518,12781,7928,3756,1840,concentrado
1748861407.5179229,77,47,138962,8837,4042,3321,1908,concentrado
1748861408.5183208,64,50,5613,9259,4656,6366,1408,concentrado
1748861409.518234,57,41,2652,11413,2180,6027,1570,concentrado
1748861410.51343,66,41,6935,4238,2923,2410,1269,concentrado
1748861411.511186,75,47,5479,4085,5023,5205,1327,concentrado
1748861412.5411363,60,61,5566,7926,14451,5367,2420,concentrado
1748861413.508241,56,80,11308,13090,12570,4528,1192,concentrado
1748861414.5364225,60,69,9740,4063,1403,2735,1157,concentrado
1748861415.5296423,51,69,3641,11210,8268,5821,2856,concentrado
1748861416.5336223,63,64,2562,6480,7851,3941,1599,concentrado
1748861417.5311136,69,64,4111,6844,6548,2907,1260,concentrado
1748861418.5289083,61,74,3910,7861,7040,7735,1725,concentrado
1748861419.5288246,61,83,3482,4575,9407,3402,1458,concentrado
1748861420.5305398,57,81,36467,15803,14693,8326,3276,concentrado
1748861421.5269036,53,84,2582,9131,13531,5108,2731,concentrado
1748861422.5207975,66,84,2720,2730,2361,3391,1315,concentrado
1748861423.5137496,64,83,113109,6190,9022,2569,2154,concentrado
1748861424.5111034,80,80,431955,11442,17456,19239,7902,concentrado
1748861425.5088484,87,63,104881,9218,3407,6085,1046,concentrado
1748861426.5098476,81,64,8159,5658,5461,3901,1983,concentrado
1748861427.511515,90,63,4724,3454,7635,5949,1418,concentrado
1748861428.5160558,77,56,14772,6749,3357,4365,1320,concentrado
1748861429.5432277,74,74,3002,2512,10834,7061,838,concentrado
1748861430.5372195,75,64,1377,2834,2519,7325,1130,concentrado
1748861431.563413,67,66,2725,5251,8700,4865,1293,concentrado
